company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),resolution,screentype,touchscreen,cpu(GHz),memory_1_storage_gb,memory_1_type,memory_2_storage_gb,memory_2_type,log_price
Lenovo,Thinkpad T470s,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.32,1920x1080,,False,2.7,256.0,SSD,0.0,,7.527793987721444
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,2.05,1920x1080,,False,1.8,256.0,SSD,0.0,,6.779921907472252
Asus,ZenBook UX310UA-FB485T,Notebook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.4,3200x1800,,False,2.5,256.0,SSD,0.0,,7.047517221357296
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,Intel Core i5 6200U ,4,Intel HD Graphics 520,Windows 10,2.1,1366x768,,False,2.3,128.0,SSD,0.0,,6.20050917404269
Acer,Aspire A517-51G,Notebook,17.3,Intel Core i5 8250U ,4,Nvidia GeForce MX150,Windows 10,3.0,1920x1080,IPSPanel,False,1.6,256.0,SSD,0.0,,6.690842277418564
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon 520,Windows 10,2.1,1920x1080,,False,3,1000.0,HDD,0.0,,6.192362489474872
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.9,1920x1080,,False,2.8,256.0,SSD,1000.0,HDD,7.332369205929062
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P ,8,AMD Radeon R7,Windows 10,2.2,1366x768,,False,3.6,1000.0,HDD,0.0,,6.061456918928017
HP,Omen -,Gaming,17.3,Intel Core i5 6300HQ ,8,Nvidia GeForce GTX 1060,Windows 10,3.35,1920x1080,IPSPanel,False,2.3,128.0,SSD,1000.0,HDD,7.029087564149662
Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.21,3840x2160,IPSPanel,True,1.6,128.0,SSD,0.0,,7.377133712833954
Toshiba,Portégé Z30-C-16K,Ultrabook,13.3,Intel Core i5 6200U ,8,Intel HD Graphics 520,Windows 10,1.2,1920x1080,,False,2.3,256.0,SSD,0.0,,7.371489295214277
HP,Elitebook 820,Ultrabook,12.5,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,1.26,1366x768,,False,2.5,256.0,SSD,0.0,,7.351799869057777
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1920x1080,,False,2.8,512.0,SSD,0.0,,7.089243155027514
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,No OS,2.4,1920x1080,,False,2.8,512.0,SSD,0.0,,7.242797922793756
Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,Mac OS X,1.35,1440x900,,False,1.6,256.0,FlashStorage,0.0,,6.905753276311464
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Intel Core i7 7500U ,12,Nvidia GeForce 940MX,Windows 10,2.3,1920x1080,,True,2.7,2000.0,HDD,0.0,,6.732210706467206
HP,Envy 13-AB002nv,Ultrabook,13.3,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.34,1920x1080,IPSPanel,False,2.7,512.0,SSD,0.0,,7.187657164114956
Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,Intel Core i7 6500U ,4,Nvidia GeForce 920M,Windows 10,2.2,1366x768,,False,2.5,500.0,HDD,0.0,,6.579695557718368
Acer,Aspire 5,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce MX150,Windows 10,2.2,1920x1080,,False,1.8,1000.0,HDD,0.0,,6.535241271013659
HP,ProBook 450,Notebook,15.6,Intel Core i7 7500U ,8,Nvidia GeForce 930MX,Windows 10,2.04,1920x1080,,False,2.7,1000.0,HDD,0.0,,6.802394763324311
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,1920x1080,,False,2.5,128.0,SSD,1000.0,HDD,6.732210706467206
Lenovo,Thinkpad P50,Notebook,15.6,Intel Core i7 6820HQ ,16,Nvidia Quadro M2000M,Windows 7,2.5,3840x2160,,False,2.7,512.0,SSD,0.0,,7.7706452341291765
Asus,VivoBook Pro,Notebook,17.3,Intel Core i7 8550U ,8,Nvidia GeForce 150MX,Windows 10,2.1,1920x1080,,False,1.8,128.0,SSD,1000.0,HDD,7.0431599159883405
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Windows 10,2.2,1920x1080,,False,2,256.0,SSD,0.0,,6.212405674866992
Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.33,1920x1080,,False,1.6,128.0,SSD,1000.0,HDD,6.738152494595957
HP,EliteBook 850,Notebook,15.6,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.84,1920x1080,,False,2.7,256.0,SSD,0.0,,7.105786129481271
Dell,Precision 3510,Workstation,15.6,Intel Core i5 6440HQ ,8,AMD FirePro W5130M,Windows 10,2.23,1920x1080,,False,2.6,500.0,HDD,0.0,,7.221835825288449
Acer,Aspire 3,Notebook,15.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,Windows 10,2.1,1366x768,,False,1.1,1000.0,HDD,0.0,,5.895806806911541
